"stop_name";"stop_lat";"stop_lon";"stop_id"
"Tišnov, železniční stanice";"49,3475";"16,41725";"U13334Z20"
"Troubsko, U dráhy";"49,164172";"16,527167";"U14110Z10"
"Uherské Hradiště";"49,066825";"17,457085";"U31027Z2"
"Uherský Ostroh";"48,982198";"17,403538";"U29404Z10"
"Unterretzbach";"48,764701";"16,007784";"U31033Z1"
"Valtice, železniční stanice";"48,74683";"16,745117";"U15811Z10"
"Valtice, železniční zastávka";"48,748776";"16,762369";"U15828Z10"
"Velká nad Veličkou, železniční stanice";"48,878631";"17,51092";"U19530Z11"
"Velké Bílovice, autobusové nádraží";"48,851516";"16,889186";"U15620Z4"
"Velké Pavlovice";"48,88985";"16,823672";"U25502Z10"
"Velké Pavlovice zastávka";"48,901672";"16,8224";"U25503Z10"
"Velké Pavlovice, autobusové nádraží";"48,897843";"16,81716";"U15528Z51"
"Vesce";"49,019071";"15,831277";"U28501Z11"
"Veselí nad Moravou, Milokošť";"48,966335";"17,398435";"U19310Z11"
"Veselí nad Moravou, železniční stanice";"48,948694";"17,382439";"U19316Z12"
"Veselí nad Moravou-Zarazice";"48,937236";"17,361306";"U29302Z10"
"Vlkov u Tišnova";"49,323611";"16,211111";"U30008Z2"
"Vlkoš";"48,987806";"17,163569";"U26801Z11"
"Vnorovy";"48,931508";"17,348464";"U29303Z10"
"Vojkovice nad Svratkou, žel. st.";"49,056208";"16,597445";"U25201Z11"
"Vracov";"48,976457";"17,221155";"U26802Z11"
"Vranovice, žel.st.";"48,964528";"16,604187";"U15307Z11"
"Vrbovce";"48,824439";"17,516352";"U29501Z11"
"Vrbovce zastávka";"48,804784";"17,52869";"U29504Z1"
"Vyškov, Autobusové nádraží";"49,275942";"16,991855";"U17423Z7"
"Vyškov, železniční stanice";"49,277222";"16,990833";"U17446Z11"
"Věžná";"49,451547";"16,270316";"U23601Z2"
"Zaječí, za nádražím";"48,894263";"16,786972";"U15532Z2"
"Zaječí, železniční stanice";"48,889637";"16,781831";"U15537Z11"
"Zboněk";"49,521608";"16,583438";"U22701Z1"
"Zbýšov";"49,132691";"16,806859";"U26201Z2"
"Znojmo nemocnice";"48,865504";"16,048394";"U28002Z11"
"Znojmo, autobusové nádraží";"48,851908";"16,056983";"U18009Z51"
"Znojmo-Nový Šaldorf";"48,820061";"16,044266";"U28001Z1"
"Újezd u Brna";"49,107297";"16,745564";"U26101Z2"
"Čebín, železniční stanice";"49,319722";"16,465278";"U13206Z10"
"Čejč, železniční stanice";"48,942189";"16,958672";"U16546Z10"
"Česká, železniční stanice";"49,284546";"16,566731";"U13109Z10"
