stop_name;stop_lat;stop_lon;stop_id;has_parking
Vysoké Popovice;49.178333;16.291111;U24301Z2;0
Vyškov, Autobusové nádraží;49.275942;16.991855;U17423Z7;1
Vyškov, železniční stanice;49.277222;16.990833;U17446Z11;1
Věžná;49.451547;16.270316;U23601Z2;0
Zaječí, za nádražím;48.894263;16.786972;U15532Z2;0
Zaječí, železniční stanice;48.889637;16.781831;U15537Z11;1
Zastávka, železniční stanice;49.187554;16.358768;U14242Z20;1
Zboněk;49.521608;16.583438;U22701Z1;1
Zbýšov;49.132691;16.806859;U26201Z2;0
Znojmo nemocnice;48.865504;16.048394;U28002Z10;1
Znojmo, autobusové nádraží;48.851908;16.056983;U18009Z51;1
Znojmo-Nový Šaldorf;48.820061;16.044266;U28001Z1;0
Újezd u Brna;49.107297;16.745564;U26101Z2;0
Čebín, železniční stanice;49.319722;16.465278;U13206Z11;0
Čejč, železniční stanice;48.942189;16.958672;U16546Z10;0
Česká, železniční stanice;49.284546;16.566731;U13109Z11;1
Řečkovice, nádraží;49.250794;16.590446;U1557Z11;1
Řikonín, železniční stanice;49.365833;16.305833;U13425Z11;0
Šakvice, železniční stanice;48.912883;16.70557;U15425Z11;1
Šatov, železniční stanice;48.780786;16.026006;U18168Z11;0
Šlapanice, železniční stanice;49.156654;16.729514;U16137Z10;1
Šlapanice, železniční zastávka;49.163271;16.718638;U16136Z11;1
Štěpánovice;49.374445;16.388056;U13462Z2;0
Šumná, železniční stanice;48.923097;15.874306;U18259Z10;0
Žabčice, žel. st.;49.010278;16.594722;U15306Z11;0
Židenice, nádraží;49.204282;16.636042;U1809Z10;1
Židlochovice, železniční stanice;49.033178;16.617165;U15241Z22;1
